"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"connector"	""	"bevat"	"{6B896CDB-E134-4413-98C6-9B2BEA1B2E51}"	""	"Consultatie-antwoord"	"{747CC23F-5F39-442e-A10D-921EF4F623AB}"	"Document"	"bevat"	"Duidt aan dat een documentversie onderdeel kan uitmaken van een consultatie-antwoord."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Consultatie-antwoord"	"http://xmlns.com/foaf/0.1/Document"	""	"0"	"*"
"connector"	""	"heeftVorigeVersie"	"{F60FD886-4BC7-4a5b-AB83-7710B165F8BA}"	""	"Agenda"	"{F1FB7F14-2730-47bf-8D26-B6671A6FC8AD}"	"Agenda"	"heeft vorige versie"	"Duidt aan dat een agenda een vorige versie kan hebben."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftVorigeVersie"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Agenda"	"https://data.vlaanderen.be/ns/besluitvorming#Agenda"	"http://purl.org/dc/terms/relation"	"0"	"1"
"connector"	""	"heeftAanwezige"	"{C63D187E-2884-4860-AC75-F4FB50984B74}"	""	"Agendapunt"	"{757FD45B-A8DA-42b4-9A1E-E0AD8CBE1527}"	"Agent"	"heeft aanwezige"	"Duidt aan dat een agent aanwezig is bij de behandeling van een agendapunt."	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"heeftAanwezige"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.vlaanderen.be/ns/besluit#Agendapunt"	"http://purl.org/dc/terms/Agent"	""	"0"	"*"
"connector"	""	"heeftAanvrager"	"{0D9F2561-0973-4180-A0EB-6084974A8F9E}"	""	"Publicatie"	"{7C47DA43-0DE9-4fe3-ADCB-34FDDFD02B99}"	"Agent"	"heeft aanvrager"	"Duidt aan dat een publicatie door een agent is aangevraagd."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftAanvrager"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.europa.eu/eli/ontology#LegalExpression"	"http://purl.org/dc/terms/Agent"	""	"1"	"1"
"connector"	""	"heeftVersie"	"{B15FF654-8AAA-4225-BD8A-992C96661C7F}"	""	"Document"	"{2DCD769E-5ADD-4437-91BC-ED7FB2002D91}"	"Documentversie"	"heeft versie"	"Duidt aan dat een document één of meerdere versies kan hebben."	""	""	"true"	"http://purl.org/dc/terms/"	"hasVersion"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://xmlns.com/foaf/0.1/Document"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"1"	"*"
"connector"	""	"isVertalingVan"	"{40871A5A-66C3-4691-BAE5-1720A9845222}"	""	"Documentversie"	"{2AB4C311-20AA-43aa-8958-C8CC3F529995}"	"Documentversie"	"is vertaling van"	"Duidt aan dat een documentversie gerelateerd is aan een andere documentversie doordat deze tweede een vertaling van de eerste is."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isVertalingVan"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"0"	"*"
"connector"	""	"heeftBevoegde"	"{E3B5B828-8CC4-49ad-B85F-D3072E092332}"	""	"Publicatie"	"{7C47DA43-0DE9-4fe3-ADCB-34FDDFD02B99}"	"Agent"	"heeft bevoegde"	"Duidt aan dat een publicatie één of meer agenten als bevoegden heeft."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"heeftBevoegde"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"http://purl.org/dc/terms/Agent"	""	"1"	"*"
"connector"	""	"bevat"	"{626347E5-66C9-4c44-9E16-FF08CDF2A8AE}"	""	"Publicatie"	"{7C47DA43-0DE9-4fe3-ADCB-34FDDFD02B99}"	"Documentversie"	"bevat"	"Duidt aan dat een documentversie onderdeel kan uitmaken van een publicatie."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://www.w3.org/2000/01/rdf-schema#Resource"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"0"	"*"
"connector"	""	"isAangebrachtDoor"	"{1F388F26-1F64-45c7-B7D4-86ECF34B0E04}"	""	"Documentversie"	"{2AB4C311-20AA-43aa-8958-C8CC3F529995}"	"Agent"	"is aangebracht door"	"Duidt aan dat een documentversie door een agent is aangebracht, bv. door het te uploaden."	""	""	"true"	"http://purl.org/dc/terms/"	"creator"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	"http://purl.org/dc/terms/Agent"	""	"1"	"1"
"connector"	""	"doorloopt"	"{0091559A-D490-497d-85FB-0DE49C14B624}"	""	"Dossier"	"{1D960FC8-C935-4413-B9A0-21EC5653D012}"	"Procedurestap"	"doorloopt"	"Duidt aan dat een dossier verschillende stappen doorloopt, waarbij een procedurestap een welbepaalde fase beschrijft."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/Case"	"http://dbpedia.org/ontology/UnitOfWork"	""	"0"	"*"
