"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"connector"	""	"bevat"	"{626347E5-66C9-4c44-9E16-FF08CDF2A8AE}"	""	"Publicatie"	"{7C47DA43-0DE9-4fe3-ADCB-34FDDFD02B99}"	"Documentversie"	"bevat"	"Duidt aan dat bepaalde objecten onderdeel kunnen uitmaken van een groter geheel."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://data.europa.eu/eli/ontology#LegalExpression"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"0"	"*"
"connector"	""	"bestaatUit"	"{0091559A-D490-497d-85FB-0DE49C14B624}"	""	"Dossier"	"{F6B5B3F6-87FA-4f9b-B09B-B0D10B2C080D}"	"Deeldossier"	"bestaat uit"	"Duidt aan dat een dossier verschillende stappen doorloopt, waarbij een deeldossier een momentopname is van het dossier op dat moment."	""	""	"true"	"http://purl.org/dc/terms/"	"hasPart"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/Case"	"http://dbpedia.org/ontology/UnitOfWork"	""	"0"	"*"
"connector"	""	"bevat"	"{ACB759BF-32F8-4e10-844E-499C33E288EB}"	""	"Volgorde"	"{57D5A4A3-C141-4bd1-9646-80D8A7F0B840}"	"Deeldossier"	"deeldossier"	"Verwijst naar het deeldossier waarop deze volgorde betrekking heeft."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"deeldossier"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Volgorde"	"http://dbpedia.org/ontology/UnitOfWork"	""	"0"	"*"
"connector"	""	"bevat"	"{ACB759BF-32F8-4e10-844E-499C33E288EB}"	""	"Volgorde"	"{57D5A4A3-C141-4bd1-9646-80D8A7F0B840}"	"Documentversie"	"documentversie"	"Verwijst naar de documentversie waarop deze volgorde betrekking heeft."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"documentversie"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Volgorde"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"0"	"*"
"connector"	""	"heeftVersie"	"{B15FF654-8AAA-4225-BD8A-992C96661C7F}"	""	"Document"	"{7B3CC78A-924D-48c5-8265-D8B9ED49FE9D}"	"Documentversie"	"heeft versie"	"Duidt aan dat een document één of meerdere versie kan hebben."	""	""	"true"	"http://purl.org/dc/terms/"	"hasVersion"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://xmlns.com/foaf/0.1/Document"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	""	"1"	"*"
"connector"	""	"leidtTot"	"{32A2481B-7BEA-430c-B242-A5F1E470B608}"	""	"Deeldossier"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Beslissing"	"leidt tot"	"Duidt aan dat een object als gevolg van een ander object aangemaakt kan worden."	""	""	"true"	"http://www.w3.org/ns/prov#"	"generated"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/UnitOfWork"	"https://data.vlaanderen.be/ns/besluitvorming#Beslissing"	""	"0"	"*"
"connector"	""	"isGeagendeerdVia"	"{0FCF4AD3-0903-4f20-9601-77B4A623988C}"	""	"Deeldossier"	"{985B3F3D-1940-46b6-8F72-E20F6C282D03}"	"Agendapunt"	"is geagendeerd via"	"Duidt aan dat een deeldossier gebruikt wordt als informatiebron om een agendapunt te bespreken."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isGeagendeerdVia"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"http://dbpedia.org/ontology/UnitOfWork"	"https://data.vlaanderen.be/doc/applicatieprofiel/besluit-publicatie/#Agendapunt"	""	"0"	"1"
"connector"	""	"isGerealiseerdDoor"	"{A258ABB7-FC7C-44cd-9EB6-662C821BCED2}"	""	"Beslissing"	"{39FEBF4B-81F9-4ebd-9977-7493129D7036}"	"Publicatie"	"is gerealiseerd door"	"Duidt aan dat een beslissing gerealiseerd wordt via een publicatie."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"isGerealiseerdDoor"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Beslissing"	"http://data.europa.eu/eli/ontology#LegalExpression"	""	"0"	"*"
"connector"	""	"behandelt"	"{9E5542E8-1852-4af5-B876-637A05D57F33}"	""	"Zitting"	"{ADCF03E4-BF46-41af-AABC-65F7DE2A9178}"	"Agendapunt"	"behandelt"	"Duidt aan dat een formeel vastgelegd agendapunt tijdens een zitting wordt besproken."	""	""	"true"	"https://data.vlaanderen.be/ns/besluit#"	"behandelt"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluit#Zitting"	"https://data.vlaanderen.be/doc/applicatieprofiel/besluit-publicatie/#Agendapunt"	""	"0"	"*"
"connector"	""	"isGeüploadDoor"	"{1F388F26-1F64-45c7-B7D4-86ECF34B0E04}"	""	"Documentversie"	"{2AB4C311-20AA-43aa-8958-C8CC3F529995}"	"Hoedanigheid"	"is geüpload door"	"Duidt aan dat een document(versie) door een hoedanigheid is geüpload."	""	""	"true"	"http://purl.org/dc/terms/"	"creator"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://data.vlaanderen.be/ns/besluitvorming#Documentversie"	"https://data.vlaanderen.be/ns/organisatie#Hoedanigheid"	""	"1"	"1"
